datetime,temp,feelslike,dew,humidity,windspeed,cloudcover,conditions,icon
2024-01-01,1.4,-0.9,0.2,91.6,13.3,94.8,"Snow, Rain, Overcast",snow
2024-01-02,-0.6,-5.6,-3.1,83.1,28.1,99.1,"Snow, Rain, Overcast",rain
2024-01-03,-4.7,-8.6,-6.7,86.3,20.9,99.5,"Snow, Overcast",snow
2024-01-04,1.3,-0.2,0.3,92.9,11.5,100,"Snow, Rain, Overcast",snow
2024-01-05,-0.9,-4.7,-2.4,89.4,23.4,87.6,"Snow, Rain, Partially cloudy",rain
2024-01-06,-2.3,-5,-4.5,84.7,15.5,89.8,"Snow, Rain, Partially cloudy",snow
2024-01-07,-8.3,-15.1,-11.3,78.9,22.7,99.3,Overcast,cloudy
2024-01-08,-13.4,-21.9,-17.1,74.2,22.3,92.4,Overcast,cloudy
2024-01-09,-10.9,-17.5,-13.8,79.7,17.6,86.6,"Snow, Partially cloudy",snow
2024-01-10,-4.1,-9.6,-5.9,87.4,22.3,97.4,"Snow, Overcast",snow
2024-01-11,-2.7,-8.8,-4.4,88.1,27.4,98.9,"Snow, Rain, Overcast",snow
2024-01-12,-9.9,-15.9,-14.6,69.1,26.3,81.1,"Snow, Partially cloudy",snow
2024-01-13,-8.4,-13.2,-10.7,83.7,19.1,99.5,"Snow, Overcast",snow
2024-01-14,-3.7,-8.1,-5.2,89.5,20.9,99.6,"Snow, Rain, Overcast",snow
2024-01-15,-0.8,-5.6,-4.3,77.2,20.5,69.5,"Snow, Rain, Partially cloudy",snow
2024-01-16,-2.6,-7.6,-7.2,71.2,23,69.8,Partially cloudy,partly-cloudy-day
2024-01-17,-7.8,-12.1,-12.3,70.9,19.8,25.8,Partially cloudy,partly-cloudy-day
2024-01-18,0.4,-4.4,-1,90.5,26.6,100,"Snow, Rain, Overcast",snow
2024-01-19,1,-2.7,-1.1,86.3,19.8,99,"Snow, Rain, Overcast",rain
2024-01-20,-1.8,-6.2,-5.8,74.8,18,95.7,"Snow, Rain, Overcast",snow
2024-01-21,-1.7,-5.6,-3.5,87.8,18.4,93.8,"Snow, Rain, Overcast",snow
2024-01-22,-3.3,-7.5,-6.6,78.1,24.8,93.9,Overcast,cloudy
2024-01-23,-0.6,-5.8,-3.3,82.4,25.2,100,"Snow, Rain, Overcast",snow
2024-01-24,0.9,-3.4,-0.4,91.4,24.8,97.1,"Snow, Rain, Overcast",snow
2024-01-25,2.8,-0.9,1.9,94.3,20.2,98.9,"Snow, Rain, Overcast",snow
2024-01-26,1.2,-2.6,0.4,94.8,19.1,99.8,"Snow, Rain, Overcast",snow
2024-01-27,0.8,-2.4,-0.3,92.1,14,98.3,"Snow, Rain, Overcast",snow
2024-01-28,-0.2,-4.1,-1.8,88.5,21.6,96.8,Overcast,cloudy
2024-01-29,-1.8,-3.5,-5.4,77.1,10.8,49.2,Partially cloudy,partly-cloudy-day
2024-01-30,-0.4,-4.1,-4.4,75.3,15.1,70.2,Partially cloudy,partly-cloudy-day
2024-01-31,1.8,-1.6,-3.3,69.9,15.5,85.6,Partially cloudy,partly-cloudy-day
2024-02-01,3,-0.7,-0.1,80.8,21.2,82.2,"Rain, Partially cloudy",rain
2024-02-02,2.2,-2.1,-2.6,71.3,24.1,63.2,"Snow, Rain, Partially cloudy",rain
2024-02-03,2.7,-1.8,1.2,90,26.3,97.9,"Snow, Rain, Overcast",snow
2024-02-04,5.2,1.6,0.6,72.7,26.6,88.1,"Rain, Partially cloudy",rain
2024-02-05,2.7,-2.3,-0.2,81.8,32.8,77.9,"Rain, Partially cloudy",snow
2024-02-06,1.8,-1.3,-0.4,85.5,24.8,98,"Rain, Overcast",rain
2024-02-07,6.6,2.7,2.7,76.8,31.3,98.7,"Rain, Overcast",rain
2024-02-08,0.7,-2.5,-2.4,79.7,23,97.5,"Snow, Rain, Overcast",rain
2024-02-09,-1.9,-5.9,-2.9,92.5,16.2,100,"Snow, Rain, Overcast",snow
2024-02-10,-1,-5.1,-1.4,97.1,18.4,100,"Snow, Rain, Overcast",snow
2024-02-11,1,-2.2,0.9,99.1,17.6,100,"Snow, Rain, Overcast",rain
2024-02-12,3.9,1.9,3.6,98.4,11.5,97.6,Overcast,fog
2024-02-13,6.6,5.3,5.6,93.8,11.5,96.9,"Rain, Overcast",rain
2024-02-14,3.9,1.2,3.7,98.4,14.4,99.9,"Rain, Overcast",rain
2024-02-15,1.7,-1.3,1.2,96.7,14.4,100,Overcast,cloudy
2024-02-16,2.3,1.4,1.8,96.2,7.6,98.9,Overcast,cloudy
2024-02-17,0.5,-2.4,-0.4,93.9,16.9,94.5,"Snow, Rain, Overcast",rain
2024-02-18,1.9,-2.1,-1,81.5,22.3,93.7,"Snow, Rain, Overcast",rain
2024-02-19,-1,-2.8,-7,65.8,12.2,72.3,Partially cloudy,partly-cloudy-day
2024-02-20,-1.5,-6.4,-4.5,80,25.2,98.8,"Snow, Rain, Overcast",snow
2024-02-21,3,0.5,2,93.7,17.3,91.7,"Rain, Overcast",snow
2024-02-22,5.5,2.9,2.5,81.6,19.8,91.4,"Rain, Overcast",rain
